productname,brand,retailername,price
"דאודורנט סטיק לאישה בלאק אנד וויט 50 מ""ל",ניוואה,Good Pharm,19.90
"תרסיס דוחה יתושים וחרקים 100 מ""ל",אוטן,Good Pharm,19.90
"רמדי טיפות לטיפול בלחץ ומתח 20 מ""ל",רסקיו,Good Pharm,89.90
"10 מ""ל טיפות ללחץ ומתח",רסקיו,Good Pharm,59.90
"מן - דאודורנט רול און לגבר קובלט דריי 50 מ""ל",רקסונה,Good Pharm,12.90
"מן - דאודורנט רול און לגבר אינביזבל 50 מ""ל",רקסונה,Good Pharm,12.90
"דאודורנט רול און לאישה ברייט בוקה 50 מ""ל",רקסונה,Good Pharm,12.90
"דאודורנט רול און לאישה ביוטי פיניש 50 מ""ל",דאב,Good Pharm,12.90
"דאודורנט רול און לגבר 50 מ""ל",דאב,Good Pharm,12.90
"דאודורנט רול און לאישה סנסיטיב 50 מ""ל",דאב,Good Pharm,12.90
"דאודורנט רול און לאישה אורגינל 50 מ""ל",דאב,Good Pharm,12.90
אגוזי 45 גרם,עלית,Good Pharm,4.90
טעמי חטיף 40 גרם,עלית,Good Pharm,4.90
טוויסט חטיף 28 גרם,עלית,Good Pharm,4.90
פסק זמן חטיף 45 גרם,עלית,Good Pharm,4.90
תפוז בודד,טיק טק,Good Pharm,4.00
מנטה בודד,טיק טק,Good Pharm,4.00
בואנו 43 גרם,קינדר,Good Pharm,5.50
מנטה חזק בודד,טיק טק,Good Pharm,4.00
הפי היפו אגוזי לוז 20.7 גרם חמישייה,קינדר,Good Pharm,15.90
ממרח שוקולד 750 גרם,נוטלה,Good Pharm,31.90
ממרח אגוזי לוז עם קקאו 350 גרם,נוטלה,Good Pharm,16.90
אצבעות שוקולד רביעייה * 12.50 גרם,קינדר,Good Pharm,5.50
ג'וי ביצת הפתעה 20 גרם,קינדר,Good Pharm,6.50
מנדרינה ולימון ליים בודד,טיק טק,Good Pharm,4.00
פיור בטעם תות ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור בטעם ספרמינט ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
TWO בטעם מנטה עדין ומרענן ללא סוכר 40 גרם,טיק טק,Good Pharm,9.90
פיור בטעם פירות מנטה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור וייט בטעם פירות ומנטה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
TWO בטעם פטל ולימון ללא סוכר 40 גרם,טיק טק,Good Pharm,9.90
סוכריות קלין ברט בטעם מנטה עדינה ללא סוכר 21 גרם,מנטוס,Good Pharm,7.90
סוכריות קלין ברט בטעם פירות יער ללא סוכר 21 גרם,מנטוס,Good Pharm,7.90
פיור בטעם ענבים ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
סוכריות קלין ברט בטעם מנטה ללא סוכר 21 גרם,מנטוס,Good Pharm,7.90
פיור וייט בטעם מנטה עדינה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור בטעם אבטיח ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור מנטוס בטעם מנטה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור וייט בטעם מנטה מתוקה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור בטעם ענבים ירוקים ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור בטעם דובדבן ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור וייט מנטוס בטעם מנטה ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
פיור בטעם הדרים בתוספת ויטמינים ללא סוכר 60 גרם,מנטוס,Good Pharm,10.90
סוכריות תות בגליל 37.50 גרם,מנטוס,Good Pharm,4.50
סוכריות פאנטה בגליל 37.50 גרם,מנטוס,Good Pharm,4.50
סוכריות ריינבואו בגליל 37.50 גרם,מנטוס,Good Pharm,4.50
"משקה אנרגיה 250 מ""ל",רד בול,Good Pharm,6.90
"מארז פחיות זירו 150 מ""ל תריסר",קוקה קולה,Good Pharm,24.90
"דאודורנט רול און לאישה 0% אלומיניום 50 מ""ל",דאב,Good Pharm,12.90
סוכריות מנטה דובדבן ללא סוכר 25 גרם,פישרמנס,Good Pharm,7.90
סוכריות מנטה אקליפטוס 25 גרם,פישרמנס,Good Pharm,7.90
סוכריות מנטה ללא סוכר 25 גרם,פישרמנס,Good Pharm,7.90
אנד גו 52 גרם,נוטלה,Good Pharm,6.90
דגני בוקר פייבר 555 גרם,נסטלה,Good Pharm,24.90
קראנצ'י שיבולת שועל שוקולד מריר חמישיה 210 גרם,נייטשר ואלי,Good Pharm,12.90
קראנצ'י שיבולת שועל דבש חמישיה 210 גרם,נייטשר ואלי,Good Pharm,12.90
קראנצ'י שיבולת שועל סירופ מייפל חמישיה 210 גרם,נייטשר ואלי,Good Pharm,12.90
קראנצ'י שיבולת שועל קינמון חמישיה 210 גרם,נייטשר ואלי,Good Pharm,12.90
קראנצ'י שיבולת שועל מעורב חמישיה 210 גרם,נייטשר ואלי,Good Pharm,12.90
דאודורנט ג'ל 65 גרם לאישה פרש פיוזן 65 גרם,ליידי ספיד סטיק,Good Pharm,16.90
דאודורנט סטיק לגבר רגולר 51 גרם,ספיד סטיק,Good Pharm,16.90
דאודורנט סטיק לגבר אושן סרף 51 גרם,ספיד סטיק,Good Pharm,16.90
דאודורנט ג'ל לגבר כחול 7\24 85 גרם,ספיד סטיק,Good Pharm,16.90
דאודורנט ג'ל לגבר כתום 24/7 85 גרם,ספיד סטיק,Good Pharm,16.90
דאודורנט סטיק לאישה שאוור פרש 40 גרם,ליידי ספיד סטיק,Good Pharm,13.90
דאודורנט סטיק לאישה פאוור פרש 40 גרם,ליידי ספיד סטיק,Good Pharm,13.90
"ארמיס א.ד.ט לגבר 110 מ""ל",ארמיס,Good Pharm,110.00
מין די 100 כמוסות רכות,ויט,Good Pharm,34.90
"ביוטין 1000 מק""ג 50 כמוסות",סולגאר,Good Pharm,74.90
סידן ציטראט בתוספת ויטמין D-3 סולגאר 60 טבליות,סולגאר,Good Pharm,64.90
סידן ומגנזיום בתוספת אבץ 100 טבליות,סולגאר,Good Pharm,64.90
חמוציות + ויטמין C סולגאר 60 כמוסות,סולגאר,Good Pharm,102.90
מולטי ויטמין מינרל לנשים 60 טבליות,סולגאר,Good Pharm,169.90
"ברזל עדין 25 מ""ג 90 כמוסות",סולגאר,Good Pharm,74.90
קולגן וחומצה היאלורונית 30 טבליות,סולגאר,Good Pharm,149.90
מגנזיום ציטראט 60 טבליות,סולגאר,Good Pharm,74.90
מגנזיום בתוספת ויטמין B6 סולגאר 100 טבליות,סולגאר,Good Pharm,52.90
סולגאר HNS Complex 60 טבליות,סולגאר,Good Pharm,109.90
"מטאפולין 400 מק""ג 50 טבליות",סולגאר,Good Pharm,54.90
"מתילקובלאמין 1000 B12 מק""ג 60 כמוסות",סולגאר,Good Pharm,75.90
אומגה 3 950 100 כמוסות,סולגאר,Good Pharm,184.90
"ויטמין C פקעות ורדים 1000 מ""ג 100 טבליות",סולגאר,Good Pharm,107.90
"ויטמין B12 למציצה 1000 מק""ג 100 טבליות",סולגאר,Good Pharm,79.90
"אבץ פיקולינאט 22 מ""ג 100 טבליות",סולגאר,Good Pharm,64.90
תמצית שורש כורכום 60 כמוסות,סולגאר,Good Pharm,119.90
קומפלקס No 7 סולגאר 30 כמוסות,סולגאר,Good Pharm,154.90
ויטמין D1000 לעיסה (תות בננה) 100 טבליות,סולגאר,Good Pharm,59.90
כורכומין סולגאר ספקטרום 185X פטנטי 30 כמוסות רכות,סולגאר,Good Pharm,164.90
30 כמוסות 5-HTP 100 mg,סולגאר,Good Pharm,64.90
מברשת שיניים מקס וויט 2 יח',קולגייט,Good Pharm,19.90
ליטל סווימרס מדיום 12 יח',האגיס,Good Pharm,34.90
לושן ממחטות 3 שכבות בקופסא 75 יח',קלינקס,Good Pharm,11.90
לושן ממחטות 3 שכבות בקופסא 120 יח',קלינקס,Good Pharm,18.90
קפסולות ג'ל אפקט פיירי 39 יח',טייד,Good Pharm,54.90
מחזיק מוצץ כחול,מאמ,Good Pharm,29.90
"פריסקיז מזון לחתול 1.43 ק""ג",פורינה,Good Pharm,34.90
"פריסקיז מזון לחתול מועשר בחלב 1.43 ק""ג",פורינה,Good Pharm,34.90
פריסקיז פטה סלמון 156 גרם,פורינה,Good Pharm,6.90
פריסקיז פטה כבד ועוף 156 גרם,פורינה,Good Pharm,6.90
"קלין אפ לניקוי רב תכליתי עם אקונומיקה 946 מ""ל",כלורוקס,Good Pharm,24.90
"מין C 1000 מ""ג עם פקעות ורדים וביופלבנואידים",ויט,Good Pharm,54.90
מין E400,ויט,Good Pharm,69.90
"200 מ""ג Q10 60 יח'",פיוריטנ'ס פרייד,Good Pharm,129.00
"מגנזיום 500 מ""ג",פיוריטנס,Good Pharm,69.90
סוכריות ללא סוכר מנטה 80 גרם,עלית,Good Pharm,8.90
"Be Delicious א.ד.פ לאישה 100 מ""ל",דונה קארן,Good Pharm,229.00
"Fitch Fierce א.ד.ק לגבר 10 מ""ל",אברקרומבי,Good Pharm,50.00
"Bella Vita א.ד.פ לאישה 15 מ""ל",גאס,Good Pharm,49.90
"Be Delicious א.ד.פ לאישה 15 מ""ל",דונה קארן,Good Pharm,50.00
"Be Delicious Ice Pop Berry א.ד.פ לאישה 50 מ""ל",דונה קארן,Good Pharm,149.00
"Be Delicious Ice Pop Citrus  א.ד.פ לאישה 50 מ""ל",דונה קארן,Good Pharm,149.00
"Be א.ד.ט לגבר 200 מ""ל",קלווין קליין,Good Pharm,149.90
"Euphoria א.ד.פ לאישה 100 מ""ל",קלווין קליין,Good Pharm,219.00
סופגן נשים אובר נייט 10 יח',פרביל,Good Pharm,19.90
תחתונים סופגים מדיום 16 יח',פרביל,Good Pharm,54.90
תחתונים סופגים לארג' 14 יח',פרביל,Good Pharm,54.90
תחתונים סופגים אקסטרה לארג' 12 יח',פרביל,Good Pharm,54.90
"קומפליט טיפות עיניים לכל סוגי היובש בעיניים 10 מ""ל",סיסטיין,Good Pharm,119.90
קונדומים דקים אקסטרה סנסיטיב גזרה רחבה 12 יח',דורקס,Good Pharm,39.90
מיני לשפתיים אורגינל,וזלין,Good Pharm,11.90
"תחליב גוף לגבר 600 מ""ל",וזלין,Good Pharm,22.90
מיני לשפתיים ורוד,וזלין,Good Pharm,11.90
"תחליב גוף לחות מזינה מונע יובש 600 מ""ל",וזלין,Good Pharm,22.90
ג'ל כביסה מרוכז וויט מאסק 3 ליטר,מיוסנט,Good Pharm,39.90
ג'ל כביסה מרוכז פינק לוטוס 3 ליטר,מיוסנט,Good Pharm,39.90
אקווה קומפורט פלוס 2.00-  30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 2.25- 30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 2.75- 30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 3.00-  30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 3.50-  30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 3.75-  30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 4.00-  30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 4.50- 30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 5.00- 30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 5.50- 30 יח',דייליס,Good Pharm,119.90
אקווה קומפורט פלוס 6.00- 30 יח',דייליס,Good Pharm,119.90
קיסם עם חוט דנטלי פלוסר 35 יח',פלאקרס,Good Pharm,10.90
קיסם עם חוט דנטלי מנטה 36 יח',פלאקרס,Good Pharm,10.90
תומך אלסטי לפרק כף היד מידה L,GOOD PHARM,Good Pharm,10.00
"אגד חבישה מתמתח רוחב 5 ס""מ",GOOD PHARM,Good Pharm,7.90
"אגד חבישה מתמתח רוחב 7 ס""מ",GOOD PHARM,Good Pharm,8.90
"אגד חבישה מתמתח רוחב 10 ס""מ",GOOD PHARM,Good Pharm,10.00
"מרפדי גאזה לא סטרילי 5*5 ס""מ",GOOD PHARM,Good Pharm,10.00
"מרפדי גאזה 10*10 ס""מ",GOOD PHARM,Good Pharm,17.90
פדים להסרת איפור 80 יח' * שלישייה,GOOD PHARM,Good Pharm,14.90
צמר גפן דיסקיות 80 יח',GOOD PHARM,Good Pharm,6.00
רצועת פילינג,GOOD PHARM,Good Pharm,10.00
ספוג רחצה מלבני,GOOD PHARM,Good Pharm,10.00
ספוג רחצה עגול,GOOD PHARM,Good Pharm,10.00
סכיני גילוח בליסטר 5 יח',GOOD PHARM,Good Pharm,10.00
משקל אדם דיגיטלי,GOOD PHARM,Good Pharm,39.90
מארז מדבקות ציטרונלה,GOOD PHARM,Good Pharm,10.00
ערכה ביתית לבדיקת ביוץ,GOOD PHARM,Good Pharm,29.90
כדוריות סבון לאסלה בריח לימון רענן 3 יח',GOOD PHARM,Good Pharm,10.00
"פד סטרילי דביק 10*10 ס""מ",GOOD PHARM,Good Pharm,10.00
"מסיר לק ללא אציטון 295 מ""ל",GOOD PHARM,Good Pharm,10.00
מחית פרי פאוץ תפוחי עץ ובננות 100 גרם,GOOD PHARM,Good Pharm,3.90
מחית פרי פאוץ תפוחי עץ 100 גרם,GOOD PHARM,Good Pharm,3.90
מברשת רחצה לאזור הגב,GOOD PHARM,Good Pharm,19.90
קיסמי שיניים מברישים 40 יח',GOOD PHARM,Good Pharm,10.00
כדורי רחצה גווני ירוק 3 יח',GOOD PHARM,Good Pharm,10.00
כדורי רחצה גווני סגול 3 יח',GOOD PHARM,Good Pharm,10.00
כדורי רחצה גווני ורוד 3 יח',GOOD PHARM,Good Pharm,10.00
כדורי רחצה גווני כחול 3 יח',GOOD PHARM,Good Pharm,10.00
כדורי רחצה גווני חול 3 יח',GOOD PHARM,Good Pharm,10.00
קוביית ליטוש מקצועית,GOOD PHARM,Good Pharm,10.00
פצירת מתכת מקצועית,GOOD PHARM,Good Pharm,11.90
מברשת נצמדת לניקוי בקבוקים אפור,GOOD PHARM,Good Pharm,14.90
"פצירות קרטון חד פעמיות 12 ס""מ",GOOD PHARM,Good Pharm,10.00
"מסיר לק ריחני בניחוח תות 295 מ""ל",GOOD PHARM,Good Pharm,10.00
קיסמי שיניים דו צדדיים עם מברשת 10 יח',GOOD PHARM,Good Pharm,10.00
קיסמי שיניים משולבים עם חוט דנטלי 30 יח',GOOD PHARM,Good Pharm,10.00
מספריים לשיער,GOOD PHARM,Good Pharm,19.90
רצועות שעווה לפנים שמן שקדים 20 יח',GOOD PHARM,Good Pharm,10.00
רצועות שעווה לגוף אלוורה 20 יח',GOOD PHARM,Good Pharm,10.00
רצועות שעווה לפנים אלוורה 20 יח',GOOD PHARM,Good Pharm,10.00
מגרדת לעור כף הרגל עם מיכל נשלף,GOOD PHARM,Good Pharm,19.90
משייף דו צדדי לכף הרגל,GOOD PHARM,Good Pharm,24.90
פצירה רחבה לכף הרגל,GOOD PHARM,Good Pharm,10.00
מגרדת לעור כף הרגל עם מיכל נשלף,GOOD PHARM,Good Pharm,14.90
מדחום חיות גמיש,GOOD PHARM,Good Pharm,14.90
קיסמי שיניים משולבים עם חוט דנטלי כפול 40 יח',GOOD PHARM,Good Pharm,11.90
אטמי אוזניים סיליקון לילדים 6 זוגות,GOOD PHARM,Good Pharm,14.90
כדורי רחצה גווני אפור 3 יח',GOOD PHARM,Good Pharm,10.00
סבון אסלה 3 יח',GOOD PHARM,Good Pharm,10.00
צמר גפן 100 גרם * שלישייה,GOOD PHARM,Good Pharm,12.90
"מפיץ ריח בניחוח כותנה טהורה 150 מ""ל",GOOD PHARM,Good Pharm,13.90
"מפיץ ריח בניחוח לבנדר פצ'ולי 150 מ""ל",GOOD PHARM,Good Pharm,13.90
"מפיץ ריח בניחוח למון גראס 150 מ""ל",GOOD PHARM,Good Pharm,13.90
"מפיץ ריח בניחוח מאסק אמבר 150 מ""ל",GOOD PHARM,Good Pharm,13.90
ממחטות נייר 100 יח' * חמישייה,GOOD PHARM,Good Pharm,10.00
"fantasy א.ד.פ לאישה 100 מ""ל",בריטני ספירס,Good Pharm,99.90
"בקבוק מילוי צבע כסף לבושם 5 מ""ל",טרוול,Good Pharm,10.00
"בקבוק מילוי צבע שחור לבושם 5 מ""ל",טרוול,Good Pharm,10.00
"The Scent א.ד.ט לגבר 100 מ""ל",הוגו בוס,Good Pharm,249.00
"ממתיק נוזלי בטעם וניל 80 מ""ל",טרוביה,Good Pharm,9.90
בלו 2 פלוס סכיני גילוח חד פעמי חמישייה,ג'ילט,Good Pharm,10.00
סכיני גילוח חד פעמי 5 יח',ג'ילט,Good Pharm,10.00
"קרם להסרת שיער לעור רגיש 400 מ""ל",ויט,Good Pharm,49.90
מפיץ ריח למדיח לימון,פיניש,Good Pharm,14.90
"מסיר איפור לעיניים 125 מ""ל",דיאדרמין,Good Pharm,19.90
"מים מוגזים 330 מ""ל בודד",פרייה,Good Pharm,5.90
"Silver Scent א.ד.ט לגבר 100 מ""ל",בוגארט,Good Pharm,99.90
"Silver Scent Intense א.ד.ט לגבר 100 מ""ל",בוגארט,Good Pharm,99.90
"דאודורנט ספריי לגבר קלאסי 200 מ""ל",סילבר סנט,Good Pharm,27.90
"דאודורנט ספריי לגבר אינטנס 200 מ""ל",סילבר סנט,Good Pharm,27.90
"Quatre א.ד.פ לאישה 100 מ""ל",בושרון,Good Pharm,189.00
"Legend Spirit א.ד.ט לגבר 100 מ""ל",מונבלאן,Good Pharm,169.00
"Man א.ד.ט לגבר 100 מ""ל",רושאס,Good Pharm,149.90
"אקלט קרם גוף 150 מ""ל",לנווין,Good Pharm,65.00
"Homme א.ד.ט לגבר 125 מ""ל",ג'ופ,Good Pharm,99.90
"Le Sel D'Issey סט א.ד.ט לגבר 50 מ""ל + 10 מ""ל",איסי מיאקי,Good Pharm,199.00
"For Her א.ד.ט לאישה 100 מ""ל",נרסיסו,Good Pharm,299.90
"For Her א.ד.פ לאישה 100 מ""ל",נרסיסו,Good Pharm,329.00
"This Is Her א.ד.פ לאישה 100 מ""ל",זאדיג,Good Pharm,249.00
"Pure Musc א.ד.פ לאישה 100 מ""ל",נרסיסו,Good Pharm,399.00
"Poudree א.ד.פ לאישה 90 מ""ל",נרסיסו,Good Pharm,329.90
קלאסי טמפונים ללא מוליך נורמל 32 יח',או בה,Good Pharm,19.90
קלאסי טמפונים ללא מוליך סופר 32 יח',או בה,Good Pharm,19.90
פרו קומפורט טמפונים ללא מוליך מיני 32 יח',או בה,Good Pharm,19.90
"קרם לחות עשיר 300 מ""ל",ניוטרוג'ינה,Good Pharm,24.90
"מי פה קול מינט 95 מ""ל",ליסטרין,Good Pharm,6.90
"מי פה קול מינט מילדר טייסט זירו 500 מ""ל",ליסטרין,Good Pharm,15.90
"תחליב גוף מועשר לעור יבש / רגיש 400 מ""ל",ניוטרוג'ינה,Good Pharm,24.90
"תחליב גוף עור יבש משאבה 400 מ""ל",ניוטרוג'ינה,Good Pharm,24.90
"תחליב גוף ויזבלי ריניו משאבה 400 מ""ל",ניוטרוג'ינה,Good Pharm,24.90
"היידרו בוסט תרחיץ ג'ל לניקוי 200 מ""ל",ניוטרוג'ינה,Good Pharm,55.90
היידרו בוסט מגבונים לניקוי הפנים 25 יח',ניוטרוג'ינה,Good Pharm,29.90
"קליר & דיפנד תרחיץ גרגירים 150 מ""ל",ניוטרוג'ינה,Good Pharm,55.90
"תחליב גוף הידרו בוסט 400 מ""ל",ניוטרוג'ינה,Good Pharm,24.90
פרו קומפורט טמפונים סופר 8 יח',או בה,Good Pharm,9.90
פרו קומפורט טמפונים ללא מוליך נורמל 32 יח',או בה,Good Pharm,19.90
קוטון מגן תחתון אלוורה נורמל 56 יח',קרפרי,Good Pharm,11.90
קוטון מגן תחתון אלוורה ללא בישום נורמל 56 יח',קרפרי,Good Pharm,11.90
קוטון מגן תחתון מבושם נורמל 56 יח',קרפרי,Good Pharm,11.90
מגן תחתון פלוס לארג' 48 יח',קרפרי,Good Pharm,11.90
"אויל באלאנס תרחיץ גרגירים 150 מ""ל",ניוטרוג'ינה,Good Pharm,55.90
"קליר & דיפנד תרחיץ ומסכה 150 מ""ל",ניוטרוג'ינה,Good Pharm,39.90
"מי פה קול מינט 600 מ""ל",ליסטרין,Good Pharm,17.90
"מי פה טאגד 600 מ""ל",ליסטרין,Good Pharm,17.90
"מי פה טוטאל קר 600 מ""ל",ליסטרין,Good Pharm,17.90
קוטון מגן תחתון רגיל טנגה 56 יח',קרפרי,Good Pharm,11.90
מגן תחתון ללא בישום 20 יח',קרפרי,Good Pharm,7.90
קוטון מגן תחתון אלוורה 56 יח',קרפרי,Good Pharm,11.90
